,F0,F1,F2
cm_valve,-0.2437386334952074,-0.8555986412471416,1.0993372747423484
cm_wghtloss,0.3989089813271405,0.7389770297269201,-1.1378860110540607
copd,0.8989871166812965,-1.0770814988165525,0.17809438213525575
diabetes,0.8989871166812965,-1.0770814988165525,0.17809438213525575
elective,1.1528843096991268,-0.6325075304139546,-0.5203767792851718
endo_adm,-0.9003129830603724,1.076317333007598,-0.17600434994722539
female,1.1481919633525952,-0.4680704589500014,-0.6801215044025938
fracture_adm,-0.007594733309252659,1.0037757364304285,-0.996181003121176
fractures,-0.2622667582625445,1.1049979028884747,-0.8427311446259297
frailty_risk_category,1.0225555415032885,-0.04675099713607788,-0.9758045443672102
frailty_risk_category_index,-0.5773502691896257,1.1547005383792515,-0.5773502691896257
frailty_risk_score,-0.4523028312516199,1.1462419609697596,-0.6939391297181393
gi_adm,1.151388477369705,-0.651380635317303,-0.5000078420524018
gu_adm,-0.8891204693965764,1.0826030178837172,-0.19348254848714092
h_contrl,1.1536608577358107,-0.5344043873815144,-0.6192564703542964
hosp_bedsize,1.1531436858327624,-0.524661055328215,-0.6284826305045473
hosp_ur_teach,1.1545850348059166,-0.5914363518075733,-0.5631486829983435
hosp_urban_rural_location,1.154616411408368,-0.5893791161854438,-0.5652372952229245
hosp_urcat4,1.154193804993141,-0.5474743538791482,-0.6067194511139928
ibd_procedures,1.151045687514799,-0.4960220957094218,-0.6550235918053767
ibd_specific_adm,1.1519716585200155,-0.507276488737894,-0.6446951697821213
infxn_adm,-0.5773502691896257,1.1547005383792515,-0.5773502691896257
los,1.1241608399484457,-0.3336142201879001,-0.7905466197605453
malignancies_adm,-0.5161966690819869,-0.6364159186274491,1.1526125877094358
neuro_adm,1.1078742817949725,-0.27204898612159767,-0.8358252956733748
new_arrhythmia_adm,0.9849534307185057,-1.0143963015857944,0.02944287086728897
new_atypicalmyco_adm,0.543137203439178,-1.1540375720976992,0.6109003686585213
new_cardiacarrest_adm,-1.0885998543563877,0.21081414364096648,0.8777857107154212
new_cc_index,-0.5165679049535589,-0.6360695568688921,1.152637461822451
new_cdiff_adm,-0.5773502691896258,1.1547005383792515,-0.5773502691896258
new_chf_adm,-0.513436020397662,-0.6389870694555487,1.1524230898532108
new_encephalitis_adm,0.933316551810627,0.1221457327318909,-1.0554622845425177
new_endocarditis_adm,1.131767379722796,-0.3675734565234607,-0.7641939231993355
new_fungal_adm,1.1540319139914732,-0.6110417724434596,-0.542990141548014
new_listeriosis_adm,-0.7680184137812792,-0.3627242040865751,1.1307426178678541
new_meningitis_adm,1.14313832719358,-0.4304094183582918,-0.7127289088352884
new_mi_adm,0.09318011426899517,-1.0433287890640905,0.9501486747950951
new_osteo_adm,0.9845213254015134,0.030270025270998376,-1.014791350672512
new_pcp_adm,1.1547005383792517,-0.5773502691896257,-0.5773502691896257
new_pneumonia_adm,-0.5773502691896257,1.1547005383792517,-0.5773502691896257
new_pyelonephritis_adm,0.5532484918797648,0.6011212067253959,-1.154369698605161
new_septicemia_adm,-0.5773502691896257,1.1547005383792517,-0.5773502691896257
new_tb_adm,1.1547005383792517,-0.5773502691896257,-0.5773502691896257
new_unstableangina_adm,1.1432747125065335,-0.7119662513794219,-0.4313084611271113
orproc,1.1483013173145094,-0.6792842093930768,-0.46901710792143264
others_adm,1.032756143916144,-0.06909621406241258,-0.9636599298537312
payer,1.1504539812515149,-0.4895431078536506,-0.6609108733978645
pq10_dehydrate,-0.5773502691896258,1.1547005383792515,-0.5773502691896258
pq11_bacterialpna,-1.1285744512805278,0.7758050285260766,0.35276942275445167
pq12_uti,-0.5773502691896258,1.1547005383792515,-0.5773502691896258
pq13_angina,1.1512964874621385,-0.6523769767325114,-0.4989195107296271
pq14_diabeteswocomp,-1.0498267798633174,0.10850277622042794,0.941324003642889
pq15_asthma,0.35316144313421766,-1.1286614672565267,0.7755000241223086
pq16_dm_amputate,-1.0459692091639217,0.09935586368877006,0.9466133454751516
pq1_dm_short,0.6875416354117092,0.459637468709928,-1.1471791041216373
pq2_perf_appendix,1.1547005383792517,-0.5773502691896257,-0.5773502691896257
pq3_dm_long,-0.9617612747532126,-0.07252828718895107,1.0342895619421637
pq5_copd_asthma,0.04661881542003846,-1.0224940826008144,0.9758752671807762
pq7_htn,1.15468996731172,-0.5816239487461763,-0.5730660185655441
pq8_chf,-0.5773502691896258,-0.5773502691896258,1.1547005383792515
prevent_readm,-0.8991217294335566,-0.1778824289323826,1.0770041583659395
resp_adm,-0.28253123871775326,-0.8283384618832864,1.1108697006010395
severe_IBD_hospitalization,0.6651710735108648,0.4848253649478064,-1.1499964384586718
thromboses,-0.3793817475559657,1.1341759807098162,-0.75479423315385
thrombosis_adm,1.1478407470183347,-0.6827606905488255,-0.4650800564695095
unplanned_adm,1.1459656634639708,-0.4502146615037629,-0.6957510019602079
zipinc_qrtl,1.1520021388062835,-0.5076760802753603,-0.6443260585309231
