,F0,F1,F2,F3
new_mi_adm,1.951878944207007,0.0,2.7838642709377535,0.0
new_osteo_adm,0.0,0.1118417006771654,0.0,0.46783479929081206
new_pcp_adm,0.06709870922401732,0.0,0.0,0.01900376470725609
new_pneumonia_adm,0.0,0.43880089865044725,0.0,0.09169474006545737
new_pyelonephritis_adm,0.26453397520952593,0.26463180772754225,0.0,0.0
new_septicemia_adm,0.0,8.9702927034331,0.0,0.0
new_tb_adm,0.0037491650919131876,0.0,0.0,0.0278871192912979
new_unstableangina_adm,1.3871779907112098,0.0,0.14231094795011692,0.0
orproc,44.46575326941955,0.0,0.3739389081682992,29.184139728411406
others_adm,2.8699669539604447,1.210099170938276,0.0,0.0
payer,392.7326711489777,42.139332657220464,0.0,44.9662731361263
pq10_dehydrate,0.0,2.2753533036553035,0.0,0.0
pq11_bacterialpna,0.2097341119207538,1.8048283752323047,1.2557694769831849,0.0
pq12_uti,0.0,1.4246351699369004,0.0,0.0
pq13_angina,0.3861666439700097,0.0,0.008828088724083222,0.0
pq14_diabeteswocomp,0.044388503413548754,0.03992552225943981,0.03985329494561103,0.0
pq15_asthma,0.9245767423624143,0.0,1.0379952113873692,0.0
pq16_dm_amputate,0.0,0.012073063183266269,0.04000100275608164,0.02471763422587458
pq1_dm_short,0.311266483355331,0.2309748606494183,0.0,0.0
pq2_perf_appendix,0.5732235294717969,0.0,0.0,0.0765070869971161
pq3_dm_long,0.0,0.20754719451198192,0.41461334480301654,0.0
pq5_copd_asthma,2.7173515568658875,0.0,4.473616952342049,0.0
pq7_htn,0.6605165603873723,0.06513686554809062,0.023480501301922314,0.0
pq8_chf,0.0,0.0,3.003673109513128,0.0
prevent_readm,5.280737350714873,5.846600577185785,8.259444530767702,0.0
resp_adm,3.6411172185717353,2.0801430536725705,8.398738421527124,0.8475144615359144
severe_IBD_hospitalization,0.0,0.0,0.0,40.25727238130262
thromboses,0.8372865218563255,6.757916611565831,2.4989323791393097,3.002002252836817
thrombosis_adm,1.3885236726876085,0.0,0.10589054784884595,0.4769044657803676
unplanned_adm,154.2226417437673,40.1111067770956,17.005914706814725,14.807533242435953
zipinc_qrtl,618.0396656999977,106.5716773031122,35.92120425143244,0.0
